Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,2,45,60,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.60443998802482,12.907894011504016,0.5123582546590074,0.23238478768862292,23.911439050737314,23.659287383665383,-0.401017959353445,-0.26800742547480283,23.185151945868622,22.915135093700655,0.4520002049576887,-0.18750102539228175,18.518199968353876,12.99284510503928,0.5162657186971618,0.23948478312015653
1,Mirpur 2 BS,40.61277862057618,26.974485729659904,0.2986047480234114,0.0010634660376045435,50.21778621402964,43.61525804451035,0.28337122114309016,-0.5273114801657208,56.331683353045825,51.61330350011014,0.2945177126755574,-0.9477162914540695,40.99178178205411,27.390224349023843,0.2737692061528444,-0.01766791297435133
2,Mirpur-11 Bus Stand,30.678814373202382,18.752412908571277,0.12975357976822297,-0.06639352818261157,42.354950956481424,35.43291286338663,0.12377325322312943,-1.0325850352583243,44.39638535270149,38.76935036646225,0.12009299976265353,-1.2424722774403656,30.429568606452406,18.629392250932046,0.13644413567440772,-0.04913638350589511
3,Proshika More Bus Stop,36.67005739077182,21.061524854702316,0.4002865621674992,0.06195795880647115,40.06821652976053,32.59759645247894,0.3753491318350269,-0.1199513247907269,39.694221966126776,30.788032828757807,0.3521629796643206,-0.11794062286617635,36.95231111424202,21.415817795021756,0.3840078674958462,0.047461945180544696
4,P.W.D Quarter Mosque,9.18051003188065,2.7656272508192377,0.0686291324509513,-0.044552463594418557,9.030289926317854,1.1602579350427047,0.04978291799122688,-0.010648246106845338,6.809872024220035,1.2404743657825774,0.05581691806331921,-0.0032404610628935515,9.144080076242625,2.7951188155434417,0.06629819980911623,-0.03627895828364003
5,Mirpur Benaroshi Polli Gate 1,96.35164166004331,64.89007665566399,0.24096794351475748,-0.002693038409068871,131.290846566451,121.57604378331733,0.24067199472673909,-0.8617384136359065,135.90675675781517,127.49244267766004,0.2401112196961847,-1.0758493182156044,95.89357736494847,64.6550319007752,0.24268826559103482,0.006818083568828293
6,Paris Road Mor,50.56810884882398,30.19483425923681,0.16400086280115536,-0.07594318698523539,75.25907045145179,69.71526929468628,0.17520642626094268,-1.3831622747134618,67.8666083593237,61.655242447339226,0.19794791983392943,-1.1224733590694975,50.3655399086865,30.181862144093778,0.1597573112968923,-0.0673402895597397
7,Mirpur College University,47.16170976641385,26.881041297445467,0.22195928205880744,-0.12980591073764103,59.69040668832058,52.71867012702552,0.18374515616562692,-0.8098135507878181,57.928847422179544,51.60919974540872,0.26271489993819375,-1.070677788962588,46.97823653368753,26.85029127133394,0.2126933931977664,-0.11958308625192005
8,Avenue 5,58.50459424688447,39.819149468144154,0.24588226846248243,-0.0035361816525205647,70.38826803596395,61.16233690855346,0.24382861375182244,-0.45262545473658555,72.07740710139032,63.90545459504838,0.2686229949554848,-0.5783655989330694,58.01413058052523,39.68897125162094,0.2535318348795415,0.013219251337108995
