Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,10,6,12,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,19.406814462984794,13.376645753031358,0.3963263042079301,0.08620110482774201,23.77296283249582,23.524526279522984,-0.2855991572665475,-0.3712250663955441,23.48926895706847,23.23994823639137,0.38521344080840786,-0.2976872156048651,19.26838719961154,13.474957280368582,0.4033389698469767,0.10226907159128862
1,Mirpur 2 BS,43.89349307885398,29.729445882314955,0.2652165514793842,-0.08973004409504592,72.23375961516047,67.32431324840756,0.00861758612017901,-1.9512029500510675,55.23783858298194,50.53348929553022,0.2819858615624493,-0.8336945689378759,43.91712308852734,30.003606433083704,0.25491251929230047,-0.09042994814354399
2,Mirpur-11 Bus Stand,34.49906487900519,21.715998238623136,0.06606834941473937,-0.2454099709559714,53.30196614921979,50.18123297977979,0.05064990994009373,-1.972926347506411,45.99378237881929,41.64356597056034,0.07771554948303994,-1.3009495141059189,34.15962891349008,21.678242183843945,0.06948369418318306,-0.21973056986525585
3,Proshika More Bus Stop,41.939499119813675,26.374853743587327,0.3673576476758344,-0.0273276194267682,57.58567531773117,52.89543687681283,-0.16115573655629878,-0.9368296007088179,49.64373432588237,44.6257157691023,0.32393579231825087,-0.5196684554027877,42.0951058977607,26.69434317865413,0.3582483480204219,-0.03434747873807975
4,P.W.D Quarter Mosque,13.744888614289819,7.185834357496864,0.04214556672231521,-0.880296941887811,10.079668751500286,1.2565511113252328,0.01492743689742699,-0.011198718155337906,7.430099001060882,1.1963954252865818,0.05076301859559939,-0.020169152058891804,13.277448422137217,7.2552277632046955,0.06497838341519796,-0.7545802488481197
5,Mirpur Benaroshi Polli Gate 1,109.65363638495751,77.11826802181872,0.1558981612738377,-0.16886014969596297,164.33477306070867,154.34702361747065,0.14081140024475292,-1.6252786948101616,155.75879428995893,147.37251718503117,0.19788632380672633,-1.6747592697828462,108.50145818743759,76.8957512841186,0.16013947268806933,-0.14305080901093636
6,Paris Road Mor,57.907504497764094,36.763695023985136,0.09972657793141954,-0.25546919587311323,86.67025685736697,82.13311094894915,0.05938838058699876,-1.812396375038559,79.22978920155728,74.9104485328066,0.15977701212049045,-1.7545039788391303,57.60614917250095,36.84053404402453,0.0964677946956507,-0.238005045109827
7,Mirpur College University,56.54284735024824,38.50795381078318,0.2179707599787,-0.299541813400779,58.25319011012641,50.52020264734957,0.11726185474580147,-0.379349543601025,71.3837605788904,68.27685437024387,0.20961031758234921,-1.741580491596053,55.37544419533883,37.82263680825968,0.20305088283457587,-0.26784566635218265
8,Avenue 5,66.32535750430341,47.36715652955204,0.16396595761108163,-0.15910965616323702,84.31123588814903,76.89151084224943,0.11981774194835529,-0.8729933511001506,78.59413995478033,71.50557978013482,0.22666730883008235,-0.8241891782913469,65.63781323355302,47.156743741732306,0.16813709188010587,-0.13564855475508186
