Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,120,120,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.336807104199085,12.84953134188192,0.5205136108547126,0.2490530880506644,23.899190497696996,23.645475770049774,-0.37281040157517625,-0.2756401644436002,23.206928341817086,22.931543327785768,0.4565717534651189,-0.2010929389200915,18.400106641099583,12.965274173506328,0.5170965930321475,0.2438595298333497
1,Mirpur 2 BS,40.51549926230593,27.022399275748832,0.28947973254341675,0.006053125094332423,49.61883505243186,42.41023628840508,0.2790052956215406,-0.49078120947492354,59.34813600722098,54.83750952236554,0.28843100393046617,-1.1427479797504754,40.900697232380026,27.372350811700237,0.2664916512417768,-0.012936464643372725
2,Mirpur-11 Bus Stand,30.25336455243635,18.55767893143062,0.11551734368745867,-0.040911174687478624,42.525226659122765,35.95608638274363,0.09984676408929696,-1.0566461825308253,44.45912545685711,39.05273313148851,0.13245481519511457,-1.2479577306533494,30.135491131627806,18.47134127365128,0.11684683837012153,-0.032815761923506326
3,Proshika More Bus Stop,36.228222685883715,20.799163899280085,0.38667567514323126,0.05890946711464318,39.54795330859887,29.794600339644884,0.36531320760301966,-0.12146409292292848,40.080782754447526,30.489883328378323,0.33725214798092745,-0.15713218935442663,36.67859828986953,21.20812949598275,0.36450325106874293,0.035365460741684895
4,P.W.D Quarter Mosque,7.771615410520379,1.9850564025607704,0.07350752081411886,-0.013224040999256781,7.74114029378832,1.033305208730401,0.05979929830334632,-0.0052932370284386465,6.779991904399346,1.2677595000958233,0.05290106062730744,-0.0021844202484464503,7.769963591716064,1.9999569464450702,0.06506446730717998,-0.012793375154096065
5,Mirpur Benaroshi Polli Gate 1,94.59057138471908,63.65125524662033,0.2498074623058553,0.020082466588824288,128.33925264672186,117.6896832762092,0.2480515569900828,-0.8039015951454198,137.88378403661451,129.55397442265178,0.2403404049114391,-1.1159092485314606,94.39848301792894,63.47660787232684,0.2495736962570373,0.024058330830927677
6,Paris Road Mor,49.068255409954205,29.060764665446225,0.1744304312951329,-0.04578052231035845,69.47541332038354,61.655337957065285,0.17751736551848854,-1.0965324690427116,67.77449582375492,61.45398526838369,0.20113090638157857,-1.1085870498928538,49.10131690317996,29.0797199943439,0.16499309309488377,-0.04719026119180003
7,Mirpur College University,44.462309547579444,24.37788882135138,0.21835615718082907,-0.09427479616565448,59.31301474338344,51.53761633691484,0.18980512296347582,-0.9473425714334753,61.56404462867463,56.35498679640494,0.2611562996426146,-1.3469347631189859,44.408522684023396,24.25743079334478,0.20614218097172227,-0.09162886934839176
8,Avenue 5,57.223804105274866,38.96525552319516,0.26008634247578577,0.025361237536898562,68.60749145438832,58.950480816955725,0.25737542607410085,-0.40098443252676264,72.1842886236222,64.03058096686016,0.27229710959569914,-0.5689011740221179,57.01743257723435,38.855554111962554,0.2627574974023189,0.0323784221877188
9,Dhaka WASA (367282274),36.7228030908781,22.946712881794877,0.19039528964324995,-0.04204454266593616,47.036721292985675,41.08359177903982,0.2199299168565194,-0.7095772055699536,54.83357350846225,50.03120865190533,0.14227790777655688,-1.6286630624899288,36.47303622541434,22.9990196684916,0.19517815956451023,-0.027918001018352623
10,Munna vai video games,128.745644962002,100.84908076722783,0.34203566750999603,0.08696545253066157,145.20656883220275,132.8716434013378,0.2643921285065052,-0.16143428746949007,140.61206110597666,128.7988195471383,0.3548424448525223,-0.12170732248870797,129.17299242771787,100.85582547825561,0.3359200218650657,0.08089409267372394
11,Udayan School road 14 no,65.0584184141831,43.14782699220711,0.15870578908822996,-0.04421237011470747,90.17059459552506,81.5213116404208,0.1747845044905809,-1.0059111762600583,89.14308712578595,80.69781075508035,0.20946702841307868,-1.0038880877858087,64.91436885104751,42.97123869843944,0.1556406676742257,-0.03959338875978102
12,Jalladkhana Killing Field,18.407247960378466,10.965867453494349,-0.007616411623362997,-0.23442308009340174,22.334571120771738,17.621797046042822,0.008873749443188392,-0.8173624168413531,23.12930961616038,17.867129539081766,0.029785940452465465,-0.9515684550719172,18.23467657127337,11.000498462062236,-0.013040796141196588,-0.21138568456760565
13,rabbani 2 (3734088700),106.64857616950974,78.02050511005281,0.4477205248442122,0.0910635721987838,108.07239192014838,93.37944079224505,0.40436491595343166,0.06663198762257005,109.15777182064564,97.17672566596082,0.5235349091573944,-0.013588031660735744,107.70284075599827,78.57860854581956,0.43335654766744003,0.07483986277207388
14,yummy yummy (3711553347),95.83178850601251,57.09263710205888,0.17233932832641483,-0.09780543062513902,139.29182671693556,130.16403142446202,0.15776145406880127,-1.3193028182594033,139.07096526507112,129.44625909964495,0.1367620600333437,-1.3236570152828828,96.05282134136272,57.40581612852228,0.15489255919490225,-0.10287537420167037
15,kazipara over bridge,219.52037992804574,172.01222270927192,0.3213995678418894,0.055506066289395806,248.27822289566558,219.3866919871164,0.11475537610203829,-0.20816635652540771,237.57259248999915,210.8669677886552,0.2780805353088177,-0.10622165387391269,220.5904727988327,172.53497906190069,0.31168063092022075,0.04627540043006406
16,DESCO (367294607),17.525127817274186,10.17626765008065,0.08064752286641175,-0.32469926480463385,19.098834205432727,14.389958685993786,0.09799739419903324,-0.57328942819171,20.018952095786524,18.412746243764666,0.06904960823291018,-0.7944636152498501,16.78378620538835,9.893707334247587,0.08864397988993217,-0.20756171910853038
17,BRTA building (422163806),57.30228045859907,35.48017670270691,0.05758754911117092,-0.07721380114302878,82.17806645999583,73.71504720141196,0.06948826342757075,-1.2154907157249921,90.01865642336557,84.36983381241699,0.06669983687401783,-1.7272462614409245,57.016598326656066,35.37672899504248,0.05900738184426679,-0.06978918198101547
18,National Bangla High School,38.12920431433204,19.798147336910606,0.3383526465004529,-0.06607227932466064,37.14555303687213,26.825605072301478,0.30685840951530274,-0.011777047679379704,35.63838549585262,29.120378740648075,0.3485656737884861,-0.17218842242875465,38.68676193248905,20.497538482428634,0.30586680733713584,-0.0974782642394536
19,Shiyal Bari More Bus Stop,20.64548416786174,8.351546258759585,0.05051962018107167,-0.09627544533695964,24.18114854507736,14.775379951623075,0.06251220544598572,-0.5039153506699379,24.248405798726047,14.857696203930077,0.06499285607583541,-0.473826293607406,20.496452754819224,8.333451724703988,0.052901585502850255,-0.08050543072855554
20,BRAC Bank(4322832702),31.91861624459922,25.73481508349867,0.15918110356336093,-0.034464234965017715,34.83781663743587,32.285702776746895,0.20107202690918477,-0.23233626100321114,35.98526337873526,32.643771212872814,0.16593954035012035,-0.31485160534348755,31.709090469322632,25.625037656336943,0.1650906253427993,-0.020927588193900837
21,Eye hospital (3740064551),40.97825595110493,30.87687256919552,0.28727042680832415,-0.05583041449900783,39.64090724325455,35.040020092523804,0.27907428896792175,0.011960294359884771,39.80445328991299,35.05188689920323,0.24975603999308874,-0.011481146663889996,40.55256400235519,30.58807196667396,0.2910698132486235,-0.034007915959266555
22,Popular Diagnostic Center(4579879715),80.28301464414783,66.13085433429804,0.3612015155526543,0.10302108685432676,86.66044811989534,77.00746093515451,0.2422455051551825,-0.045145488878986395,83.95155900548242,74.12383347059306,0.2674372082599019,0.019172981823052493,80.86558416339781,66.52106499930093,0.3471809905596773,0.08995609385877457
23,Unicare Pharma (3810905497),82.1259312517473,54.76440865715462,0.154404044004685,-0.03373955571020737,112.9725960994986,101.35504078478078,0.14318469869696682,-0.9561256062985899,114.97357348532562,103.42723736006529,0.1565690882927022,-1.051923470638783,82.0337376282297,54.63830794850047,0.15027405125315516,-0.03141993022122613
24,Senpara Parbata,168.91557673903384,119.54102155716332,0.571632945681797,0.25783572140523536,217.70894849963815,192.94069452605865,0.38818723445218745,-0.23285842409582114,205.91695053531913,182.00068302073686,0.5410225655198558,-0.10815799737060106,172.98843892844013,122.15184424286798,0.5483881814636383,0.22161437717552346
25,Janata Housing Road (349875110),54.49857495481922,36.79925224245284,0.09296864354303251,-0.06710809895485315,71.90419330831058,63.9101684643154,0.07009189781363617,-0.8575758657741508,70.33314575112782,62.580472332376324,0.048978328108527334,-0.7790606344241797,54.2584294000914,36.60429334138676,0.09340778363218127,-0.0577244897637994
26,22 Borobagh (678085727),76.96547663438741,51.24468304554483,0.2743413631322612,0.009848582946552442,102.64199218408726,90.2917047084746,0.10243672137340988,-0.7610019313393379,109.28318919647627,99.66758405535022,0.2691985465692082,-1.0019092751814371,77.000048852701,51.29927901760376,0.26844859931134935,0.008958848464338476
27,walton showroom (4597572393),133.45366291676902,107.73392189211788,0.25365983955379284,0.02947269966365451,154.32074906566393,145.1050811686724,0.2014323378492913,-0.29776305042348183,151.5148258253484,142.45879989500975,0.19623115305565303,-0.25157083104236744,133.90977672567251,107.93379303813771,0.24535356995142452,0.022827286306188244
28,Mirpur 14 (4583693489),19.8219106244339,7.71662092015056,0.08291881903784729,-0.15507817680295277,23.448186792699655,15.867738967684794,0.08626486688502864,-0.616362930118936,29.333694007354264,22.610407145558987,0.041578321526497604,-1.540393497832512,19.8152186791835,7.764712760101373,0.06648314591992519,-0.15429839171810333
29,Salimullah Homeo Clinic(4331663837),40.68578755374734,27.283714465753988,0.1753434939177213,-0.006860921303731171,54.77255858722029,49.610338522952155,0.15705258397417654,-0.8247782180929006,57.19979848408129,52.32829737193161,0.14044335840361072,-1.0525669221921405,40.576190779605525,27.079621599558184,0.176979966472813,-0.001443792106513575
30,9 no. (521883650),36.04678862334562,25.77745103985849,0.1142184725339074,-0.04902249168189887,47.455108626183424,44.34360975216636,0.08459227242108128,-0.8180992338200064,44.159534303115244,40.851288180298766,0.11913838463969836,-0.6708327457449754,35.813046580024206,25.696715490229156,0.11560588314028054,-0.03849023582654976
31,Dog squad Road (448675965),61.171078704886945,37.06993292256874,0.1921132819308265,-0.036505463344097544,87.6392018131278,79.45477628771788,0.19670901168286056,-1.1275322134291366,87.6392018131278,79.45477628771788,0.19670901168286056,-1.1275322134291366,60.602592615092725,36.984421974801116,0.19838229177736652,-0.017329704485701036
32,Ahsania Mission Road (367366130),100.99148091462891,74.63673427005774,0.14998925681354222,-0.05148913817424661,123.2093099301582,115.84061561418304,0.16300000216562016,-0.56502889358905,122.15660767252223,115.10301285488875,0.18618980584181596,-0.5380245228989335,100.87235777727767,74.59782392171037,0.14636370112151076,-0.04901006149409959
33,"444229708(23.79997,90.37661)",81.69400115912755,56.693825044155766,0.11248984336784437,-0.03749785217514634,108.73130513775597,101.99361063958854,0.08278665114417699,-0.837875439151782,110.0836879826,104.28555874136873,0.12285096322222144,-0.9440217858576079,81.8263744259712,56.73854342247852,0.10100921955001044,-0.04086280542514831
34,MBM (367206902),96.05626959392129,62.3284948633388,0.21547510626916497,-0.04873201310870545,140.54404031772043,127.07851931109711,0.12497185046627296,-1.2451117402584977,156.43143073610617,146.33207316446928,0.2169108077992052,-1.8917450787853012,96.30693895223921,62.332736852394994,0.20376469415607237,-0.05421271718901566
35,"506175481(23.79787,90.38485)",129.63546052967763,91.91984959110827,0.16511932529379267,-0.03483999800304427,185.62260685951634,169.37106898582604,0.13937142300310354,-1.1217162951782256,184.14865347666654,168.08960214197197,0.12838901246727957,-1.1032593465624134,129.95202407418304,92.44331971763077,0.15391208042045038,-0.0399002276518281
36,Kazipara Amtolla(33778284),136.09264201631163,97.71406311710254,0.15753548973282264,-0.033676631629662834,172.68709196819353,161.25891911406652,0.14676160853942227,-0.6643135917890115,175.49159346271895,166.02235192535613,0.2010038490916158,-0.7957329497117005,136.10180435518646,97.69737711740946,0.15248784720275294,-0.033815819380833556
