Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,2,60,60,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.37998179224653,12.855913673924858,0.5188573627826573,0.2457188708213679,23.918143907163735,23.65806442114808,-0.3736303123090261,-0.2773150756459115,23.422456661853936,23.162647786866216,0.4308259189069913,-0.223262338857515,18.4394154551076,12.987698718290702,0.515606619494203,0.24083288435278138
1,Mirpur 2 BS,40.65418428574859,27.15223944518945,0.28790891169962307,0.002118166782575037,50.63044001671125,43.8662572863217,0.2740925813416424,-0.5477186530392331,57.01152494336963,52.271507747821424,0.2895309719716469,-0.9780990224014554,41.03953121420413,27.521015134110254,0.26464506384863973,-0.016888640158475576
2,Mirpur-11 Bus Stand,30.26693076150539,18.508925461451433,0.1408600853580835,-0.04141203488498579,41.97546697934492,35.20902837286478,0.13054946694742942,-1.0029813173062694,44.363167290497984,38.85576880682659,0.12987813897608527,-1.2392090870720245,30.102568569682166,18.406843075984575,0.14630869540307123,-0.030132132953781365
3,Proshika More Bus Stop,36.40682516489297,20.985498949648882,0.3940150367609271,0.06298965270138801,40.1758648422962,31.834799469964057,0.3600676058857004,-0.14106199069638392,39.83688899432525,29.975056851695825,0.33757056687081005,-0.1350510771915734,36.84865251004296,21.403968082694718,0.37231640730996163,0.04010883893503148
4,P.W.D Quarter Mosque,8.65666157435489,2.433900235231682,0.07194664622073255,-0.02481209210073576,8.591622425439683,1.1229220888449654,0.04673237043921672,-0.009470723444616524,6.810880823645961,1.2678048428474626,0.06055012985891164,-0.003775673132454971,8.657253399147102,2.4632534732305187,0.061985498388151976,-0.024952222318529005
5,Mirpur Benaroshi Polli Gate 1,95.24589643245511,64.08891098626889,0.2484172700467187,0.013956392432674991,129.49806128114838,119.29159813293603,0.24220966475030686,-0.8227625954673448,135.97600577452965,127.35305727473842,0.24040143661534497,-1.0564714480209,94.99769221898177,63.94029257171022,0.24825750423969106,0.019088819114344457
6,Paris Road Mor,49.63225960629598,29.4349041697851,0.16632421928062724,-0.06003245898681908,71.6306494110763,64.95962076361185,0.1705676637049116,-1.2079480226707204,67.6338898762769,61.34060591780783,0.19233735913817898,-1.0969279033992319,49.618463926172154,29.469323645707664,0.1575090528275775,-0.0594432520302588
7,Mirpur College University,45.44273209201855,25.363288391184113,0.22543040544054374,-0.10245580053379322,59.333609340585525,51.98277419793798,0.1937660838319648,-0.8794633207802511,58.49114456673104,52.403741568267996,0.2632375020335004,-1.1099064358965371,45.328909546708935,25.331229361448127,0.21486818773836588,-0.0969399714321093
8,Avenue 5,57.56826650952052,39.195481192858274,0.25959068476795205,0.01940565797324667,69.35390629295087,59.85134909329361,0.25438278206645293,-0.42319671707131423,72.2080601712817,64.12344168310499,0.2709931692920259,-0.5704095770066429,57.28049197667071,39.08665579103398,0.26389550274480705,0.029184822234485708
