Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,2,30,30,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.743227362763346,12.895396862505997,0.5122971855714665,0.23032773574054377,23.914742467257437,23.66462347687932,-0.40018144670694433,-0.25299260184592964,22.362763102792186,21.887690301712656,0.512338314624682,-0.07507226463757766,18.59828317646744,12.93585892848169,0.5186659697212876,0.2424641255931831
1,Mirpur 2 BS,38.3246733104562,24.675699908711042,0.3908266240634084,0.10042373885317701,50.17474416941137,44.93851938657957,0.36158028487896254,-0.5418829174918365,52.282098880006146,47.556815835958425,0.37323236450063363,-0.7103325645585563,38.12769586442162,24.75515051153992,0.3934525725205258,0.10964708512808374
2,Mirpur-11 Bus Stand,31.50001272682237,18.797685574070456,0.14324959380749266,-0.06447185969142177,42.59274391327027,36.6456704986708,0.13135221060402277,-0.9461842997392935,43.53197260591885,37.45414994853029,0.13348316410263336,-1.0489154565200178,31.41280567204917,18.788645555976252,0.14052589108714245,-0.058586086978963614
3,Proshika More Bus Stop,33.36254660854569,19.14548020623797,0.5261721103824183,0.23602907828757735,38.67772403640818,32.77213968653288,0.4805005955628884,-0.026786766034926357,37.51939730913072,30.66453118443143,0.45439571663193135,-0.002845590671139764,33.60222932726951,19.439401338214918,0.5159758677111083,0.2250126304101122
4,P.W.D Quarter Mosque,10.188700063459564,3.4689966369197034,0.022482032215737666,-0.09546324175471832,9.807432165549956,1.4649981321479446,-0.007399302469351923,-0.01501130673844342,6.911801692536593,1.4229695051169982,0.061631438627440714,-0.01041043146745868,10.128278103594543,3.5157151138959004,0.022348875991356376,-0.08250893501945611
5,Mirpur Benaroshi Polli Gate 1,96.09141168473708,64.59924755440689,0.25484256326187066,0.0004972032006886895,133.6249760372218,124.73962453191753,0.24485371575001752,-0.9328143752779325,138.54759389491878,130.64241251255547,0.2620103067520807,-1.2198772919982308,95.95901856836477,64.84368630034275,0.2504187373127786,0.003249501842685909
6,Paris Road Mor,49.89317932504448,30.319707482996126,0.23604283736473256,-0.016407607180674244,71.91115532121545,66.09854147100424,0.22933064110847803,-1.1114367716313365,66.05748638274044,60.13556690447824,0.24169876059288847,-1.0521530155018182,49.88254453432458,30.63059169423434,0.22840499913909418,-0.01577254983998677
7,Mirpur College University,46.373866892022285,26.925519139735073,0.3250743674680171,-0.006436142338012818,62.33606516515118,56.66908996525884,0.27044430724665236,-0.8185212149531711,58.267119850314685,52.60479467174206,0.3074881160060878,-1.124094029235072,46.55780880391895,27.39251826291756,0.31371766431776327,-0.008968620579790088
8,Avenue 5,58.53000515998694,40.113415912244406,0.25918207907538043,0.0009509105352966118,71.50006344447185,62.74959240460512,0.24568237110367985,-0.4908795505895034,70.42815062183597,62.13375100867053,0.28582357896201316,-0.5455362318498964,58.27243079858207,40.196466349846794,0.2599236167031844,0.009724639931307233
