Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,2,15,30,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,19.480723281963385,13.19118971735248,0.4637835719400961,0.15090426444168814,24.05983360192283,23.81929275723765,-0.26200867260728367,-0.2951848144664302,22.593384380939867,22.156413868107506,0.482198726856446,-0.10046118849611663,19.30431298439879,13.302867951395296,0.47265083082734577,0.17303247267654365
1,Mirpur 2 BS,40.254955992457404,25.89710820191029,0.3613245450496264,0.03416703678095967,57.43525923231308,52.88112247976846,0.21406439327245544,-0.9661673603608738,49.68408577936301,44.58583281213448,0.3706196872281251,-0.5414448185005487,39.97203883819966,25.899341912329387,0.36360140368873606,0.04668724752860676
2,Mirpur-11 Bus Stand,32.872751902009696,19.807080750874917,0.12223268347962535,-0.13276692233980092,45.38285849192691,41.18845811768358,0.10948090159942614,-1.1589974462778097,43.74993739434855,37.71945473723557,0.12898291406054901,-1.0639317788498008,32.63561613972049,19.78576291243593,0.12173168555727616,-0.1177258188425847
3,Proshika More Bus Stop,35.45803632418966,20.908956529588263,0.5203704232053281,0.21182338570113868,49.02854137287579,44.39150139819751,0.4588677112214524,-0.5069267061230123,39.7003451429198,33.61365405727288,0.45512889175171306,-0.051353084701226015,35.39843064461618,21.125742548203412,0.5194918062069593,0.21569469861738133
4,P.W.D Quarter Mosque,10.854809292143198,5.0019516907014765,0.01836606120183669,-0.3198160469932605,9.557319715930364,1.6022707850864741,-9.440251499455852e-05,-0.023154545213320166,7.208453579513915,1.7403054384131509,0.07160624550415066,-0.02779919944433229,10.66847341264899,5.054740306053005,0.01076843649274008,-0.2748925033706131
5,Mirpur Benaroshi Polli Gate 1,101.21321388080699,69.27701068268739,0.23053812965894316,-0.04910378278377103,149.68664253009854,140.98502533772788,0.2216791376179763,-1.2946165233281457,144.82827751321102,137.1334224817599,0.25525378367553486,-1.4207495281490257,100.79792874951787,69.45609763745719,0.22784313958470523,-0.03973076208381343
6,Paris Road Mor,53.443435261800744,33.2192586453194,0.20833776547277574,-0.0738371598258234,78.42048395454569,73.43446501181046,0.2061612721633819,-1.3121112799688692,68.32670293657013,62.797068947768466,0.2423392363137612,-1.1620480262930295,53.20683077731458,33.44350229470013,0.2091943245575433,-0.06127252455209886
7,Mirpur College University,50.41231960721534,30.74877092940726,0.3231299420722769,-0.05130932562721813,69.8633516746247,65.5833896377311,0.2621976854485001,-1.0190914457613656,62.2788124883718,58.083918692644666,0.29400361584574786,-1.3180402144707073,50.36845368547383,31.031244752250565,0.30461754179273637,-0.04803467182270538
8,Avenue 5,61.45320953820584,42.81271016543534,0.23405765462250952,-0.05266242179124947,77.84187602498005,70.49834135795098,0.2296615946207178,-0.6889880159799546,72.49962243820787,64.66364399672152,0.26669708428316896,-0.6237549841392327,60.94475636767444,42.70797372439202,0.2382356574317113,-0.034626449618785804
9,Dhaka WASA (367282274),41.89211895104433,29.048768282105513,0.18889199573573642,-0.1636946550003009,64.73266678915243,61.38437534995762,0.055227727619011846,-1.778570250419281,55.55777954355101,51.67541622813061,0.20044891904085338,-1.7972523658102175,41.432679995436985,29.122973251924517,0.18844794841070323,-0.1381725461358505
10,Munna vai video games,129.6916077388843,102.09622851407327,0.3486173875679809,0.0711006569592827,153.85831399636245,141.47401505606248,0.26558922624607983,-0.3073348718279323,142.19910252463197,130.88497140592844,0.36185682427422194,-0.15819851639830573,128.96927188998103,102.12579411801755,0.353705848988302,0.08327406518995106
11,Udayan School road 14 no,66.66021791239612,44.23001172200065,0.26136834322473396,-0.03042568227304443,99.73306821332137,93.43302566411641,0.2124875427017482,-1.3065431114555515,91.05450743573361,84.47440841736031,0.26346266872645274,-1.1227950949963796,66.37794779146309,44.42183113108167,0.2607425093759129,-0.020654181001680705
12,Jalladkhana Killing Field,22.67559643831647,16.485006691013684,0.14481318390847672,-0.45308797343381024,21.402555689812264,19.086988154320537,0.10285174972875814,-0.2945109891110569,22.901620407422033,18.127053013408812,0.11197490312128454,-0.9037272915575865,22.261207130090096,16.51991287906158,0.13661352464290516,-0.3978249891722416
13,rabbani 2 (3734088700),91.66833665985195,66.98617223522106,0.6089640237829991,0.32606296840898985,120.27689647423762,105.55764630668645,0.1585580337157874,-0.16023255016233473,104.20888036064541,92.50128533186572,0.5556150064470087,0.06709055841336331,93.20519558124359,68.83750122228274,0.6027677630391334,0.3211508982210367
14,yummy yummy (3711553347),104.11035250217638,64.37579186791693,0.2354450088740474,-0.1107328943400272,153.72049993329745,145.4114045502487,0.15315196402300396,-1.4215050341025495,145.72132478722182,137.95883129332572,0.19039900591770542,-1.4942354549912622,104.34905054152328,65.04984476635262,0.22476840213764737,-0.1123441219668102
15,kazipara over bridge,217.16156847131597,168.47619552959856,0.36107887806632133,0.05768771158690944,251.9630090403585,222.55520956320333,-0.15385531737516808,-0.2685350974199818,240.32309766589216,213.22186718562529,0.24281653111672097,-0.15342485950258378,216.00584341855688,167.995905374154,0.3634625307054735,0.06769091773900204
16,DESCO (367294607),19.66864166461189,12.228349515804222,0.30480328342433466,-0.17591558651581551,17.66000756667001,13.687005557665167,0.26900204748031303,0.051998157946129164,18.702149342928287,15.085460164345033,0.13902917842414067,-0.5006377584610564,19.182974361501014,12.19813362398708,0.23229964908159864,-0.18839192537177918
17,BRTA building (422163806),59.072845470165404,35.64777749993351,0.13453897889416339,-0.10621931574829069,96.44168745414413,91.52129810910031,0.1203766734815345,-1.9484587564113616,90.74767638434179,85.93802809347993,0.09008445852060232,-1.7995125118638535,59.325981402895124,36.993161129438455,0.1333620769173284,-0.09109548537504542
18,National Bangla High School,43.32472555897734,27.204256670666837,0.45850654747022235,0.07952681087557922,44.90980042635302,36.81741930502072,0.4042336990155916,0.010942016745382754,31.522089313746566,24.043014060885803,0.47179864760174206,0.06836002418496145,43.4771318293546,27.47254913204973,0.44934146251995644,0.07402544664055777
19,Shiyal Bari More Bus Stop,27.083227442067123,13.614138532432834,0.1291627953820532,-0.20378339877340546,27.536560650841142,21.089623662795322,0.08736366990643091,-0.24441978328899983,26.852640355795792,19.664647606787426,0.10294270645172234,-0.1979783834582154,26.629045882055248,13.39556677714809,0.11344470957543748,-0.1587475037441135
20,BRAC Bank(4322832702),34.15189270161597,26.91745642362491,0.13476909792983993,-0.16852716974127868,36.32513366627087,34.0876628799377,0.14561436783714943,-0.32197640006291195,35.040068843348315,32.43488302852019,0.1772853801853716,-0.25849782882592587,33.71193364016981,26.87272305256568,0.13935916847215227,-0.13737844122243792
21,Eye hospital (3740064551),39.23401734759532,28.523382782415684,0.39868665079819193,0.047641451853371763,41.61324246505624,37.309409311724174,0.16575867702735644,-0.07136644096834388,39.090451182428176,34.99897671664485,0.3640207585446549,0.011768737988353317,39.1300302801891,28.86176349448412,0.39631179700870917,0.0556639958018631
22,Popular Diagnostic Center(4579879715),82.78813643177854,67.2035133604457,0.336261807522173,0.03288419896538197,86.69659097715095,77.16861532025494,0.2538546312493118,-0.06058701869863525,83.04516370107844,73.75472083473106,0.30728466853015207,0.027214724512993005,82.11241419254704,66.91513901566631,0.34213422349661016,0.04865756771033625
23,Unicare Pharma (3810905497),85.04930106211607,56.577682757231344,0.24128483716084867,-0.03921374179453241,130.484544495038,122.37476124250826,0.19712765506992075,-1.446141246616643,119.01350846403793,110.64127682710571,0.21947291638025523,-1.2129143088820853,84.86632320680137,56.87496315307263,0.2371138052399331,-0.03235434249041047
24,Senpara Parbata,144.716627545808,101.94778391724866,0.6943146695908039,0.4516322996879846,229.3958669782099,204.47988053378657,0.07731317624026568,-0.3778634429131189,207.62239959193005,184.88698473171792,0.5988095290400326,-0.14846308915474626,144.79604722455298,102.36742849356543,0.6927449268601119,0.4511482946438221
