Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,1,120,60,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,18.20152917108422,12.666942071514224,0.5370985881258252,0.2712203161411676,23.917696764319828,23.662664705548107,-0.3925306698773984,-0.25840146783956675,22.62429612758071,22.24342203073712,0.5121986709498799,-0.12536498797173135,18.170627042440426,12.737866193707635,0.5382084112562192,0.273692825527882
1,Mirpur 2 BS,37.65514701812827,24.556756647107058,0.3990132622889159,0.12617234848048098,47.08643816811037,40.73713043511409,0.3727142075835168,-0.3663714145157817,58.527184648569396,54.28544904094955,0.351508872922817,-1.119958235506291,38.07743001672532,25.10942660536907,0.3748216966900268,0.10646340153633005
2,Mirpur-11 Bus Stand,30.26492640684235,18.38004512891177,0.1402246180644441,-0.0267883512105902,41.40075090799176,34.593686805541,0.12616836430261813,-0.9214014984221253,43.517235933396094,38.38352094858529,0.1444089135146853,-1.1228743709278728,30.10821260612351,18.358425958574962,0.13891599461373147,-0.016182325170792877
3,Proshika More Bus Stop,32.84401146627238,18.61296203564924,0.5041218021024935,0.21894269430626323,35.810757045361434,26.96789487244454,0.45638091185538976,0.07146663653480123,37.17405704631704,29.53891094004304,0.43520881991231214,-0.004900516229283669,33.56041004145072,19.13130093731643,0.4735278421664219,0.18449800911394765
4,P.W.D Quarter Mosque,8.08698241541581,2.0492099824094665,0.038927427135276596,-0.027677458012377976,8.01909027710312,1.0658985010614157,0.057632239264974766,-0.01049469599603281,6.8093480886903,1.3425706469978922,0.05279000309334035,0.0019218401666881713,8.024944558838394,2.0579115696069112,0.05915906943348785,-0.011970643966055183
5,Mirpur Benaroshi Polli Gate 1,92.6666301369224,61.949062135882144,0.2731494316302894,0.037209296420036786,125.90197278739572,115.78932243805446,0.279001826168201,-0.7772569395061688,137.9682247476718,129.9031374653259,0.2673143242269759,-1.1690548507181555,92.06408949129082,61.827726252475244,0.27917166357285517,0.04968918243505438
6,Paris Road Mor,47.22475455069518,28.00880878734031,0.24767610830829379,0.015765607153937267,66.1012818594408,58.214448973831615,0.2400311491201459,-0.9283190035126283,67.90636630752013,62.228925052268266,0.24163294465801313,-1.16546877123392,47.36872382474227,28.25971417774733,0.2306373983569518,0.009755390487866333
7,Mirpur College University,42.1583634282743,22.789055907472896,0.3141833722219456,0.017092529363665898,58.71400773206205,51.331190353516035,0.25154800887573203,-0.9064639636812126,60.66781063990143,55.775864587899314,0.3042078260812337,-1.3333571941902758,42.245557405908215,23.162273030927143,0.2933594418907224,0.013022530757285655
8,Avenue 5,56.50290746107646,38.46933732520574,0.2766228676768431,0.03776230833669447,68.0858906237568,58.35315418868047,0.27106832539465486,-0.39718855195937297,72.44640617757238,64.69791455017288,0.29215391855517825,-0.6147881045324166,56.099007538405345,38.29912988574672,0.28289126901146744,0.05146987351246457
9,Dhaka WASA (367282274),36.064352717183546,22.49454365440225,0.2277443330015134,-0.012960047341445735,47.75630513157913,42.25503274851189,0.22040358245002772,-0.7762229187468164,54.099215695345556,49.60138101973062,0.18022843576980443,-1.6123520796588107,35.86153819479065,22.609900259104236,0.22370708049814364,-0.0015989486668159802
10,Munna vai video games,123.85204586842242,97.95723656312606,0.39321245433878504,0.1395714707650927,142.30709746602358,130.33550727934184,0.32280323197384697,-0.13595611432293864,139.18578935221475,127.74095069269572,0.39154597324948415,-0.1164615330616452,124.2671075901003,97.87733362463763,0.38668676208699443,0.13379474959040305
11,Udayan School road 14 no,63.06280460560649,41.71340595593588,0.21451577379353287,-0.001810441646693084,87.69249695160244,79.16763500463291,0.2163987092600395,-0.9371527345920909,86.75145174410238,78.97600176628379,0.25400090350673366,-0.9423933121930355,63.08260624935639,41.88369571894368,0.20335834238677145,-0.0024396749346471402
12,Jalladkhana Killing Field,18.553731272896478,10.966767523659856,0.07756860202439235,-0.15837253332195145,22.40294366671777,17.465530412322288,0.04333739673694622,-0.6888687533835476,23.578315057879475,18.74982679812654,0.08486858305967342,-1.0855226150878474,18.503160294050147,11.17800965114027,0.040770587653527,-0.15206650272539468
13,rabbani 2 (3734088700),93.40891614256957,68.08776208241626,0.5792108822666179,0.29231852818730064,108.3868940020413,94.80640050780202,0.47149920702334436,0.04717158138338473,101.1557780603943,89.37535718985164,0.6103131062358382,0.11963875184023365,96.31823960223609,70.2073543681474,0.5475041342922765,0.24906619520926343
14,yummy yummy (3711553347),93.98430461250385,54.66601657544987,0.2410294408985677,-0.024942823993757246,136.05179666453776,126.48526086253418,0.22693707810691632,-1.1478182928730485,135.1432560215174,125.3815019303907,0.19206160803257413,-1.1607875512270227,93.95065654708475,55.09968025005061,0.2249645085713738,-0.02420905956806374
15,kazipara over bridge,211.5651293363274,165.92617651086317,0.38147694567731205,0.11894161933241765,245.8509435873058,217.52849712830206,0.19158441556787784,-0.18976248234394255,239.1346728469662,213.00550943662762,0.309151986450339,-0.12564542764446385,213.46425726504202,167.54052417891856,0.36424093707855804,0.10305287086627102
16,DESCO (367294607),16.979499863781726,9.684788593139022,0.23084806370859773,-0.1263602019120349,18.20250482294179,13.50691282472651,0.19543504139685244,-0.29446352918488805,19.933936769646724,18.212064052063624,0.10589235797947125,-0.8278879265644139,16.646730649415705,9.773150606623439,0.1819540233735697,-0.09737584266027755
17,BRTA building (422163806),56.382226057136556,34.65138533953899,0.11277493702030576,-0.04334214944995596,79.12739403239962,70.21824121760457,0.09814677104399083,-1.054925311398045,88.2766966028637,82.81203946737882,0.09143652837847505,-1.6615173520614177,56.34733992016183,34.74628849971704,0.10235613407466547,-0.04086220756181036
18,National Bangla High School,34.2120827256676,17.26494725347607,0.4761869134173572,0.14056660669619947,34.62971577985015,25.745534069167054,0.455924966024557,0.11945602164900704,33.75268325868163,27.498368467485392,0.4426549932528879,-0.07674330233963755,34.72328517529412,17.840378636005926,0.44634190401127116,0.11469113823650079
19,Shiyal Bari More Bus Stop,20.868554602456243,8.374758036898672,0.09435565506120744,-0.06512402593634548,24.265441430355736,13.761734091866664,0.09505985812424403,-0.44009729195273795,23.877773598115578,13.796759677192124,0.09882463331018893,-0.4337836826975823,20.782721606421976,8.443859281180892,0.07998958447608671,-0.05638027001360646
