Date,29-05-2019
parameters,Sampling Rate,Sequence length,Prediction Length,Repeat,Is Continuous
values,10,6,3,False,False
,,HA,HA,HA,HA,SVR,SVR,SVR,SVR,SVR GRAPH,SVR GRAPH,SVR GRAPH,SVR GRAPH,ARIMA,ARIMA,ARIMA,ARIMA
Node Number,Node name,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2,RMSE,MAE,COR,R2
0,Mirpur 10 Circle,19.080944634245178,13.14580646032049,0.4373998014945147,0.1397565096608142,23.831046284291297,23.59015297617252,-0.0850255639300407,-0.34186205585870866,23.4082149943054,23.12554441909756,0.4224186521693952,-0.2355054799371059,19.093059691583417,13.251020935538202,0.43520723191791044,0.14202418637065206
1,Mirpur 2 BS,40.23609545133701,26.546545600366635,0.3886310978818825,0.0709270996553375,71.40107394557427,66.5320141090186,-0.19075934790235713,-1.9256853778811696,50.46452297821106,45.79537703551501,0.4180826994334766,-0.5621518629775302,40.65928422328804,26.97688856255716,0.37430559970037797,0.049420114190039555
2,Mirpur-11 Bus Stand,34.10895193886408,20.963176473732034,0.1273484000783425,-0.16537703631421596,53.30422981515526,50.09034843319092,0.10650226901765908,-1.8461189782313667,44.944598576645916,40.31685389316525,0.12900261943077412,-1.1379893089043813,34.18270137909703,21.157507174647854,0.1187602061236185,-0.17503662174585632
3,Proshika More Bus Stop,36.34689604317646,22.390986772866437,0.5388501032813552,0.23992291860181236,56.95047429262646,52.118958213569854,-0.038152099635468666,-0.8660259129456502,47.740444665652724,42.83855627009538,0.4606440124522759,-0.41326346393263913,36.74136193338375,22.834701858437292,0.5258521624952063,0.22332119402051376
4,P.W.D Quarter Mosque,15.920912978233455,7.711509195181341,0.009439440972594049,-0.544649850365275,12.922909810961746,1.8942790801703948,0.007279099114373444,-0.017688193940400332,7.600177815568386,1.7549651817091048,0.07216678166463403,-0.029380148364968717,15.80975890410667,7.879096541321855,-0.0015590427688971606,-0.5231567650168731
5,Mirpur Benaroshi Polli Gate 1,102.82557735957293,71.06643581429236,0.25817116281439983,-0.05524071507427952,164.32059505325074,154.53746210652034,0.23203390166337495,-1.6948414828859049,158.2937025078214,150.15503900859173,0.25769447769533255,-1.8503538804778499,104.27235949991076,72.32961887446588,0.23253304632524815,-0.08207458266653767
6,Paris Road Mor,54.336163198389094,33.90021821141118,0.23699761972121489,-0.08238163415521815,85.285953219483,80.42997038874464,0.10985623607273678,-1.6665976553997583,76.72272349476836,72.55697532416774,0.25506637798821896,-1.6852107322430565,55.12329880930674,34.67087878380011,0.21400303299545348,-0.11122171208847198
7,Mirpur College University,51.155250672902824,33.01127939849347,0.4058386410960269,0.05189524944437296,72.4919116643341,67.67351309628509,0.2478251932668435,-0.9039476079285871,68.10332267866798,64.88315306351016,0.31452021274882974,-1.570078766099615,51.617252331672255,34.125491382040515,0.37596697398985307,0.03540027475088925
8,Avenue 5,63.51231792964196,45.07026434739124,0.2348213257571256,-0.07803229988133631,84.27106881805403,76.77855083673907,0.17673810024522926,-0.8978979284851754,76.65469638481228,69.70245487563767,0.26681386145058816,-0.7714655352590218,64.16959701956553,45.727852004777,0.21913480241885808,-0.1003828771622719
